,id,assetcode,windowtimestamp,datatype,systemversion,mentions,buzz,sentiment,negative,positive,optimism,pessimism,joy,lovehate,trust,anger,disagreement,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,shortvslongterm,marketrisk,longshort,longshortforecast,pricedirection,pricedown,priceforecast,priceup,pricemomentum,topvsbottom,overvaluedvsundervalued,volatility,adoption,adoptionforecast,anonymity,attack,codesentiment,codeupgrade,criminalactivity,developersentiment,fomo,fork,forkforecast,hodl,innovation,litigation,majorityattack,noobs,regulatorycrackdown,regulatoryissues,scam,transactionspeed,vulnerability,partnership,futurevspast,windowtimestamp1,windowtimestamp2,date,close,r_BTC_USD,R_BTC_USD,volume_BTC_USD
20,mp:2014-10-07_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-07T19:30:00.000Z,News_Social,MP:4.0.0,1698,5047.0498,0.055675998,0.197442,0.25311801,0.047155999,0.034871999,0.011492,0.003864,0.018921999,0.00109,0.010501,0.004161,0.023181999,0.031801,0.008619,0.003765,0.021597,0.024251999,0.298273,-0.000198,0.037051,-0.010997,0.000693,0.010105,0.024767,0.002972,0.034871999,-0.000495,-0.006836,-0.001486,0.015405,0.025262,0.004458,0.001387,0.002774,0.000198,0.000793,0.00535,-0.000198,0.000375107,0.001434371,0.000454451,0.001475236,0.006538,0.002972,0.000209797,0.000198,0.000495,0.009114,-9.9e-05,0.000198,0.000594,0.00317,-0.24437,10/7/2014,19:30:00.000Z,7-Oct-14,336.187012,0.018335538,0.018504666,49199900.0
21,mp:2014-10-08_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-08T19:30:00.000Z,News_Social,MP:4.0.0,1598,4952.0498,-0.019991999,0.22838999,0.208399,0.045637999,0.040387001,0.006563,0.003736,0.00838,0.004645,0.018679,0.004846,0.021405,0.049272999,0.014337,0.002221,0.017266,0.022274001,0.328228,0.005856,0.017468,0.005553,-0.000808,-0.00101,0.024737,0.000101,0.023728,-0.000101,-0.003433,0.000808,0.01358,0.012318,0.002221,0.007674,0.003635,0.001212,0.000404,0.005755,-0.000202,0.000375107,0.000808,0.000202,0.001475236,0.004342,0.000202,0.000209797,0.000202,0.000606,0.012015,0.000404,-0.000202,0.000404,0.000404,-0.17724,10/8/2014,19:30:00.000Z,8-Oct-14,352.940002,0.048630487,0.049832355,54736300.0
22,mp:2014-10-09_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-09T19:30:00.000Z,News_Social,MP:4.0.0,1192,4415.9502,0.055707,0.20629799,0.262005,0.080277003,0.042913001,0.005888,0.002038,0.009171,0.00385,0.021513,0.003057,0.010643,0.041327,0.014719,0.005095,0.019815,0.024117,0.37344199,0.008718,0.034194,0.003736,0.001132,0.010983,0.016191,0.002378,0.027174,0.001812,-0.004982,-0.001132,0.01421,0.020719999,0.003397,0.001359,0.002831,0.000226,0.001580883,0.004642,0.000226,0.000375107,0.000226,0.000454451,0.001475236,0.007473,0.000906,0.000209797,0.000504439,0.001585,0.011775,0.001132,-0.000453,0.000566,0.000906,-0.13071901,10/9/2014,19:30:00.000Z,9-Oct-14,365.026001,0.033670511,0.034243777,83641104.0
23,mp:2014-10-10_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-10T19:30:00.000Z,News_Social,MP:4.0.0,1323,2735.5,0.067629002,0.189179,0.256809,0.050448,0.027234999,0.009139,0.003656,0.015536,0.005849,0.017547,0.006397,0.008591,0.03875,0.009322,0.001828,0.020837,0.025589,0.27362499,0.005849,0.038933001,-0.009139,-0.008408,0.021751,0.01316,0.003107,0.034910999,0.001097,-0.001828,0.001462,0.012064,0.011515,0.001462,0.010601,0.002193,0.001828,0.000183,0.003656,0.001828,0.000375107,0.001434371,0.000454451,0.001475236,0.006215,0.000366,0.000209797,0.000366,0.001097,0.030525001,0.000548,0.000366,0.001097,0.003656,-0.154268,10/10/2014,19:30:00.000Z,10-Oct-14,361.562012,-0.009535019,-0.009489705,43665700.0
24,mp:2014-10-11_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-11T19:30:00.000Z,News_Social,MP:4.0.0,1175,2355.95,0.032894999,0.20904499,0.241941,0.062183,0.046689998,0.007004,0.003183,0.006155,0.009338,0.021011,0.003396,0.014644,0.051146999,0.009975,0.002122,0.023344999,0.041257001,0.351578,-0.001486,0.036715999,0.008065,0.00191,0.024194,0.014856,0.001486,0.039050002,-0.000849,0.000212,0.000424,0.017084001,0.016554,0.003183,0.001061,0.001698,0.001486,0.001273,0.008489,0.000849,0.000375107,0.000849,0.000454451,0.001475236,0.005518,0.002547,0.00191,0.000504439,0.001616718,0.002759,0.002971,0.000407513,0.002547,0.001698,-0.14217199,10/11/2014,19:30:00.000Z,11-Oct-14,362.299011,0.002036301,0.002038375,13345200.0
25,mp:2014-10-12_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-12T19:30:00.000Z,News_Social,MP:4.0.0,960,1951.65,0.040222,0.21392199,0.25414401,0.056106001,0.032536998,0.006149,0.006149,-0.004355,0.015115,0.029975001,0.003331,0.014091,0.047651999,0.015115,0.002562,0.022289,0.035815999,0.404991,0.001537,0.025876001,0.004099,0.001537,0.019726999,0.014347,0.004611,0.034074001,0.004611,0.002306,-0.001025,0.020624001,0.012041,0.001793,0.001793,0.005124,0.002562,0.001025,0.006149,0.000512,0.000375107,0.001434371,0.000454451,0.001475236,0.007173,0.003587,0.000209797,0.000504439,0.003074,0.013322,0.004099,0.001281,0.000512,0.000512,-0.133477,10/12/2014,19:30:00.000Z,12-Oct-14,378.549011,0.043875683,0.044852454,17552800.0
26,mp:2014-10-13_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-13T19:30:00.000Z,News_Social,MP:4.0.0,1085,2328.3501,0.01267,0.214959,0.22762901,0.069577001,0.035218,0.007301,-0.000215,0.019756,0.005798,0.006228,0.004295,0.019971,0.043164,0.006872,0.001074,0.021689,0.043292001,0.35574499,0.000644,0.031137999,-0.003865,0.001288,0.014388,0.016535001,0.003436,0.030923,0.000859,-0.007516,0.000429,0.029313,0.015462,0.004295,0.001718,0.006013,0.000859,0.001288,0.005154,-0.000859,0.000375107,0.000429,0.000429,0.000429,0.004724,0.000859,0.000209797,0.000504439,0.000859,0.007301,0.000429,0.000407513,0.000859,0.000859,-0.167823,10/13/2014,19:30:00.000Z,13-Oct-14,390.414001,0.030862166,0.031343341,35221400.0
27,mp:2014-10-14_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-14T19:30:00.000Z,News_Social,MP:4.0.0,1424,2840.7,0.030802,0.21649601,0.247298,0.061957002,0.037666999,0.003344,0.00528,0.02165,0.008097,0.041891001,0.00528,0.012849,0.026578,0.005632,0.002816,0.016721001,0.022248,0.32587001,0.004752,0.026402,0.001056,0.000176,0.020594001,0.012321,0.001232,0.032914001,0.002464,-0.008273,0.000176,0.015313,0.016369,0.002816,0.008449,0.012673,0.001408,0.001580883,0.013905,0.000352,0.000375107,0.000704,0.000454451,0.000352,0.006336,0.014785,0.000209797,0.002112,0.002464,0.012497,0.00352,0.00176,0.001056,0.003872,-0.20056701,10/14/2014,19:30:00.000Z,14-Oct-14,400.869995,0.026429456,0.02678181,38491500.0
28,mp:2014-10-15_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-15T19:30:00.000Z,News_Social,MP:4.0.0,1231,3317.8,0.050335001,0.21354499,0.26388001,0.042045999,0.026222,0.007837,0.007083,0.012358,0.00648,0.022907,0.00422,0.010851,0.038277999,0.003617,0.00422,0.026976001,0.018867999,0.43134001,0.010549,0.024564,0.010549,0.000151,0.009193,0.015522,0.000904,0.024715001,0.000151,0.000603,0.000904,0.015823999,0.014467,0.001206,0.002562,0.006932,0.001658,0.001507,0.011604,0.001356,0.000375107,0.000904,0.000454451,0.001475236,0.006932,0.003014,0.000209797,0.000301,0.000301,0.010097,0.002863,0.000407513,0.000301,0.000301,-0.27906999,10/15/2014,19:30:00.000Z,15-Oct-14,394.77301,-0.015326232,-0.015209382,25267100.0
29,mp:2014-10-16_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-10-16T19:30:00.000Z,News_Social,MP:4.0.0,1131,2627.05,0.021888001,0.228774,0.25066099,0.047010999,0.032736,0.002665,0.008565,0.012942,0.012942,0.007232,0.006471,0.013323,0.043395001,0.009136,0.003426,0.0118,0.031709,0.38693601,-0.00019,0.021888001,-0.000761,0.000761,0.0177,0.017890999,0.003616,0.035590999,0.000761,0.000571,0.000381,0.021983,0.02341,0.001903,0.005329,0.007994,0.001713,0.001142,0.009136,0.000198018,0.000375107,0.001434371,0.000454451,0.001475236,0.010468,0.008755,0.000209797,0.000504439,0.001616718,0.006281,0.001142,0.000761,0.003807,0.000381,-0.236463,10/16/2014,19:30:00.000Z,16-Oct-14,382.556,-0.031435892,-0.030946923,26990000.0
